,loss
0,0.25530022382736206
1,0.24901805818080902
2,0.2500576078891754
3,0.24728262424468994
4,0.2447504997253418
5,0.2453950047492981
6,0.2548583447933197
7,0.2468736171722412
8,0.24961453676223755
9,0.2514072060585022
10,0.24449634552001953
11,0.2427169382572174
12,0.23431339859962463
13,0.24444891512393951
14,0.23304277658462524
15,0.24501106142997742
16,0.2407093644142151
17,0.2507213056087494
18,0.25542640686035156
19,0.23228156566619873
20,0.2558468282222748
21,0.23862764239311218
22,0.24395227432250977
23,0.24561206996440887
24,0.2548254430294037
25,0.25060367584228516
26,0.24635601043701172
27,0.24024540185928345
28,0.24409127235412598
29,0.2559473514556885
30,0.24033799767494202
31,0.25615769624710083
32,0.247052401304245
33,0.22861987352371216
34,0.26014444231987
35,0.2425059676170349
36,0.2510080337524414
37,0.2554967999458313
38,0.28205162286758423
39,0.2331712692975998
40,0.22416451573371887
41,0.24534600973129272
42,0.28246933221817017
43,0.26060959696769714
44,0.24745675921440125
45,0.2568647563457489
46,0.2619912028312683
47,0.2149883210659027
48,0.27528300881385803
49,0.2522323429584503
50,0.27312082052230835
51,0.23047587275505066
52,0.29674971103668213
53,0.2823106348514557
54,0.24881860613822937
55,0.24600860476493835
56,0.25424814224243164
57,0.24044038355350494
58,0.2690166234970093
59,0.24573145806789398
60,0.24251365661621094
61,0.24822908639907837
62,0.22116202116012573
63,0.24605044722557068
64,0.2622111439704895
65,0.25536730885505676
66,0.23896878957748413
67,0.22927230596542358
68,0.24699558317661285
69,0.26049312949180603
70,0.2864145338535309
71,0.27254217863082886
72,0.2505204677581787
73,0.23104459047317505
74,0.28176844120025635
75,0.26769840717315674
76,0.2405528724193573
77,0.2375902533531189
78,0.24363797903060913
79,0.2672172486782074
80,0.27100154757499695
81,0.2558095157146454
82,0.24094070494174957
83,0.27930688858032227
84,0.2402186095714569
85,0.23642435669898987
86,0.265330970287323
87,0.24632182717323303
88,0.2606867551803589
89,0.2927390933036804
90,0.2820759117603302
91,0.28690508008003235
92,0.23071643710136414
93,0.24415549635887146
94,0.2332148551940918
95,0.26579031348228455
96,0.29027992486953735
